Region_no,Region_name,AssignedCountry,RegionGroup,ScreeningCase
1,Adavale,Australia,South Pacific,Australia
3,Al Daww,Syria,Middle East,Middle East
6,Anadarko,USA,North America,US
7,Appalachian,USA,North America,US
8,Aquitaine-Bay of Biscay,France,Europe,EU
9,Arabian,Saudi Arabia,Middle East,Middle East
10,Arkoma,USA,North America,US
13,Balearic,Spain,Europe,EU
14,Baltic,Latvia,Europe,EU
15,Banggai-Sula,Indonesia,Asia,Indonesia
16,Barreirinhas-Para-Maranhao,Brazil,South America,Brazil
17,Bass,Australia,South Pacific,Australia
18,Beaufort-Mackenzie,Canada,North America,Canada
19,Beibuwan,China,Asia,China
21,Big Horn,USA,North America,US
22,Bintuni,Indonesia,Asia,Indonesia
23,Black Warrior,USA,North America,US
24,Bohai Bay,China,Asia,China
25,Bonaparte,Australia,South Pacific,Australia
26,Bose,China,Asia,China
27,Bowen-Surat,Australia,South Pacific,Australia
28,Browse,Australia,South Pacific,Australia
29,Caltanissetta,Italy,Europe,EU
30,Campos,Brazil,South America,Brazil
31,Canning,Australia,South Pacific,Australia
34,Central North Sea,UK,Europe,UK
35,Central Sumatra,Indonesia,Asia,Indonesia
39,Cook Inlet,USA,North America,US
41,Crimea-Karkinit,Ukraine,Europe,EU
43,Denver,USA,North America,US
44,Diyarbakir,Turkey,Middle East,Middle East
45,Dnieper-Donets,Ukraine,Europe,EU
48,Drava,Croatia,Europe,EU
50,East Java,Indonesia,Asia,Indonesia
51,East Midlands,UK,Europe,UK
52,Erlian,China,Asia,China
53,Espirito Santo,Brazil,South America,Brazil
55,Faroe-Shetland,UK,Europe,UK
57,Fort Worth,USA,North America,US
58,Foz do Amazonas,Brazil,South America,Brazil
60,Gaziantep,Turkey,Middle East,Middle East
63,Gippsland,Australia,South Pacific,Australia
64,Grand Banks,Canada,North America,Canada
65,Green River,USA,North America,US
69,Hailar-Temtsag,China,Asia,China
70,Huabei,China,Asia,China
71,Illinois,USA,North America,US
74,Ionian,Greece,Europe,EU
76,Jianghan,China,Asia,China
77,Jiuquan,China,Asia,China
78,Junggar,China,Asia,China
80,Kra-Gulf of Thailand,Thailand,Asia,Thailand
83,Kutei,Indonesia,Asia,Indonesia
86,Laramie,USA,North America,US
87,Levantine,Israel,Middle East,Middle East
89,Los Angeles,USA,North America,US
91,Lublin,Poland,Europe,EU
97,Mesopotamian,Iraq,Middle East,Middle East
100,Moesian,Romania,Europe,EU
101,Moray Firth,UK,Europe,UK
102,More,Norway,Europe,EU
107,Nanxiang,China,Asia,China
112,North Adriatic,Croatia,Europe,EU
113,North Carnarvon,Australia,South Pacific,Australia
114,North Carpathian,Poland,Europe,EU
118,North Java,Indonesia,Asia,Indonesia
119,North Slope,USA,North America,US
120,North Sumatra,Indonesia,Asia,Indonesia
122,Northern Aegean,Greece,Europe,EU
123,Northern North Sea,Norway,Europe,EU
124,Northwest German,Germany,Europe,EU
125,Norwegian,Norway,Europe,EU
126,Oman Salt,Oman,Middle East,Middle East
127,Ordos,China,Asia,China
130,Palo Duro,USA,North America,US
131,Pannonian,Hungary,Europe,EU
133,Paradox,USA,North America,US
134,Paris,France,Europe,EU
135,Pattani,Thailand,Asia,Thailand
136,Pearl River Mouth,China,Asia,China
138,Permian,USA,North America,US
139,Perth,Australia,South Pacific,Australia
141,Po,Italy,Europe,EU
142,Polish,Poland,Europe,EU
143,Potiguar,Brazil,South America,Brazil
144,Powder River,USA,North America,US
146,Qaidam,China,Asia,China
148,Reconcavo,Brazil,South America,Brazil
151,Sabatayn,Yemen,Middle East,Middle East
152,Sacramento,USA,North America,US
153,Salawati,Indonesia,Asia,Indonesia
154,San Joaquin,USA,North America,US
156,San Juan,USA,North America,US
157,Sanshui,China,Asia,China
158,Santanghu,China,Asia,China
159,Santos,Brazil,South America,Brazil
161,Sava,Croatia,Europe,EU
162,Sayun-Masila,Yemen,Middle East,Middle East
163,Scotian,Canada,North America,Canada
165,Sergipe-Alagoas,Brazil,South America,Brazil
166,Sichuan,China,Asia,China
167,Sinjar,Syria,Middle East,Middle East
169,Solimoes,Brazil,South America,Brazil
170,Songliao,China,Asia,China
171,South Adriatic,Italy,Europe,EU
172,South Caspian,Iran,Middle East,Middle East
174,South Sumatra,Indonesia,Asia,Indonesia
176,Southern North Sea,UK,Europe,UK
177,Subei,China,Asia,China
178,Sunda,Indonesia,Asia,Indonesia
180,Tarakan-Muara,Indonesia,Asia,Indonesia
183,Tarim,China,Asia,China
184,Thrace,Turkey,Middle East,Middle East
187,Transylvanian,Romania,Europe,EU
188,Trondelag-Halten,Norway,Europe,EU
189,Tucano,Brazil,South America,Brazil
192,Turpan,China,Asia,China
194,Vienna,Austria,Europe,EU
197,Wessex,UK,Europe,UK
198,West Barents,Norway,Europe,EU
201,Yilan-Yitong,China,Asia,China
202,Zagros,Iran,Middle East,Middle East
203,Zala,Hungary,Europe,EU
