year,total_rate
2030,12.8019351077951
2031,15.3756245845356
2032,18.4664673187752
2033,22.1782647113387
2034,26.6356021531962
2035,31.987988129130596
2036,38.4148076763376
2037,46.131246002065204
2038,55.3953658942506
2039,66.5165544541165
2040,79.86559079373309
2041,95.88662657624961
2042,115.11141511267479
2043,138.1761709777469
2044,165.8414885473129
2045,199.01579071697202
2046,238.7828122743802
2047,286.4336365897735
2048,343.5037853679448
2049,411.8157884784729
2050,493.5275046044257
2051,591.1861817362799
2052,707.78778167563
2053,846.8403671364134
2054,1012.4292625996576
2055,1209.2801240354445
2056,1442.8138377747352
2057,1719.184152409498
2058,2045.2849806813372
2059,2428.7093082198926
2060,2877.6356885107857
2061,3400.6117703557834
2062,4006.1980975463875
2063,4702.4312401204725
2064,5496.065954639913
2065,6391.565606688422
2066,7389.833747245277
2067,8486.72303748658
2068,9671.4244725304
2069,10924.928675551555
2070,12218.850671677656
2071,13514.994618315326
2072,14766.06533988904
2073,15917.86189261715
2074,16913.07912875534
2075,17696.499687249576
2076,18220.946771358864
2077,18453.015404033533
2078,18377.457685821497
2079,17999.269463752997
2080,17343.000928415808
2081,16449.450515719873
2082,15370.483710045626
2083,14163.05518587316
2084,12883.524081812639
2085,11583.089340146415
2086,10304.771486453054
2087,9081.976122135493
2088,7938.392570486309
2089,6888.84186055093
2090,5940.672249944128
2091,5095.36338022235
2092,4350.096511357055
2093,3699.144846613372
2094,3135.0166650203073
2095,2649.3390150255573
2096,2233.502771446939
2097,1879.105905746459
2098,1578.2364120904367
2099,1323.6341851669447
2100,1108.7656997735596
2101,927.8388200704549
2102,775.7787402355082
2103,648.180544540223
2104,541.2493832109842
2105,451.7357744997761
2106,376.87093938522145
2107,314.30519289206524
2108,262.0510964025632
2109,218.4321791264112
2110,182.0374499397336
2111,151.68155388720731
2112,126.37021341973102
2113,105.27048342938069
2114,87.6853058252766
2115,73.0318487939946
2116,60.823140814355
2117,50.6525483644282
2118,42.180691463264196
2119,35.1244378972373
2120,29.2476622528066
2121,24.3534980522293
2122,20.2778495418297
2123,16.8839637266022
2124,14.0578931212451
2125,11.704705630686899
2126,9.745320317838
2127,8.113866936082
2128,6.7554833846526
2129,5.6244790493757
2130,4.6828036578436
2131,3.8987711134604
2132,3.2459960437104
2133,2.7025077433805
2134,2.2500120158829997
2135,1.8732762914493
2136,1.5596174794141
2137,1.2984754215813
2138,1.0810576606477
2139,0.9000436157519
2140,0.7493382404814
2141,0.6238668938755
2142,0.5194045343085
2143,0.4324334968018
2144,0.3600250730431
2145,0.2997409118869
2146,0.249550924166
2147,0.20776493000909999
2148,0.1729757487559
2149,0.1440118163163
2150,0.1198977351594
2151,0.09982142920439083
2152,0.08310679770454686
2153,0.0691909478316642
2154,0.05760523918337184
2155,0.04795950209387762
2156,0.039928898359353655
2157,0.03324298201956407
2158,0.027676591795870897
2159,0.023042268384502136
2160,0.019183941624232034
2161,0.015971674475422783
2162,0.013297287214219512
2163,0.011070714309673197
2164,0.009216971269074503
2165,0.007673629381380148
2166,0.006388713358688764
2167,0.005318950936914859
2168,0.004428315565750713
2169,0.003686813238857325
2170,0.0030694722715516147
2171,0.00255550236826034
2172,0.002127594503862687
2173,0.0017713379723538016
2174,0.001474735047656353
2175,0.0012277970220835048
2176,0.001022207691932108
2177,0.0008510434098007734
2178,0.0007085398645253932
2179,0.0005898979060270757
