year,total_rate
2030,82.72449304595331
2031,98.3903806227862
2032,116.4224429439068
2033,137.07047833886878
2034,160.5944113712239
2035,187.2625297182824
2036,217.34946316773048
2037,251.13392341899637
2038,288.8962290585752
2039,330.91564531695786
2040,377.4675728636982
2041,428.8206238295511
2042,485.2336263572686
2043,546.9526011986541
2044,614.2077551462106
2045,687.2105363930389
2046,766.150796262725
2047,851.1941001764621
2048,942.479228286628
2049,1040.1159029846333
2050,1144.1827765839182
2051,1254.7257079979706
2052,1371.7563522991989
2053,1495.2510817840396
2054,1625.150251710587
2055,1761.3578183432937
2056,1903.741311454921
2057,2052.1321581107495
2058,2206.326349494932
2059,2366.085437822258
2060,2531.137846084547
2061,2701.180469569198
2062,2875.8805448026533
2063,3054.8777588432945
2064,3237.78656969234
2065,3424.1987070094433
2066,3613.685821302123
2067,3805.8022492838145
2068,4000.0878631340047
2069,4196.070971907679
2070,4393.27124428613
2071,4591.202623188258
2072,4789.376204419487
2073,4987.303053470806
2074,5184.496936739964
2075,5380.476945777723
2076,5574.769995613533
2077,5766.913180739055
2078,5956.4559748797465
2079,6142.962263223674
2080,6326.012198266028
2081,6505.203872835713
2082,6680.154806169253
2083,6850.503241064316
2084,7015.909252162086
2085,7176.055667260639
2086,7330.6488052400155
2087,7479.419035678242
2088,7622.121166552942
2089,7758.534667555848
2090,7888.463737500703
2091,8011.737225083776
2092,8128.20841286808
2093,8237.754674816275
2094,8340.27701800309
2095,8435.699519307555
2096,8523.968667929556
2097,8605.052624506847
2098,8678.940407439877
2099,8745.641016774605
2100,8805.182505660392
2101,8857.611009002205
2102,8902.989738475262
2103,8941.397952576153
2104,8972.929909857408
2105,8997.693812941428
2106,9015.810750343031
2107,9027.413642555204
2108,9032.64619827664
2109,9031.661886088395
2110,9024.622926325535
2111,9011.699307342871
2112,8993.067829844906
2113,8968.911182442953
2114,8939.417051118766
2115,8904.777264816375
2116,8865.186978953618
2117,8820.84389824271
2118,8771.947539836128
2119,8718.698537470005
2120,8661.297986962121
2121,8599.946833134994
2122,8534.845297975968
2123,8466.192349614534
2124,8394.185211491638
2125,8319.01891091502
2126,8240.88586603772
2127,8159.975510162194
2128,8076.473952158843
2129,7990.563671693559
2130,7902.423247883121
2131,7812.227119937802
2132,7720.14537830688
2133,7626.343584812747
2134,7530.982620242163
2135,7434.218557857317
2136,7336.202561293823
2137,7237.080805326095
2138,7136.994418001904
2139,7036.079442676215
2140,6934.466818508481
2141,6832.282378026892
2142,6729.6468604064985
2143,6626.675939155044
2144,6523.480262949985
2145,6420.165508422064
2146,6316.832443734017
2147,6213.577001857502
2148,6110.490362506148
2149,6007.659041737808
2150,5905.1649882939
2151,5803.085685798053
2152,5701.4942599898195
2153,5600.45959022163
2154,5500.046424498363
2155,5400.315497388669
2156,5301.323650185379
2157,5203.12395273879
2158,5105.765826431402
2159,5009.295167805523
2160,4913.754472396173
2161,4819.18295836078
2162,4725.6166895343795
2163,4633.088697574184
2164,4541.629102890761
2165,4451.265234094482
2166,4362.021745715492
2167,4273.920733983189
2168,4186.981850477255
2169,4101.222413486545
2170,4016.6575169347557
2171,3933.300136752905
2172,3851.16123459809
2173,3770.2498588360822
2174,3690.5732427219486
2175,3612.136899728175
2176,3534.944715983848
2177,3458.9990398012146
2178,3384.3007682777284
2179,3310.8494309722146
