year,total_rate
2030,15.6564418677217
2031,17.9676031655595
2032,20.6186176767009
2033,23.6590434489267
2034,27.145532899160298
2035,31.1428063252258
2036,35.724745510242805
2037,40.9756177845884
2038,46.991440207188404
2039,53.881492070015696
2040,61.7699814287145
2041,70.7978674457742
2042,81.124834525405
2043,92.9314059229512
2044,106.4211729846663
2045,121.8231005131553
2046,139.393847885164
2047,159.4200182291198
2048,182.2202128187559
2049,208.1467234076582
2050,237.5866401370047
2051,270.9620858127373
2052,308.7292083482519
2053,351.3754727871608
2054,399.4146953105322
2055,453.3791597454795
2056,513.8080623741091
2057,581.2314591450873
2058,656.1488639181183
2059,739.0016989128866
2060,830.1389697671375
2061,929.77587555128
2062,1037.945619440419
2063,1154.4455027096528
2064,1278.7794860594065
2065,1410.1007683376047
2066,1547.159476102537
2067,1688.2620983625739
2068,1831.2505523269126
2069,1973.509342608112
2070,2112.008740256305
2071,2243.389863089127
2072,2364.093767841393
2073,2470.53128395876
2074,2559.2838975477225
2075,2627.319571377567
2076,2672.202331096118
2077,2692.2721463781327
2078,2686.7730814562988
2079,2655.9130982441247
2080,2600.847515215971
2081,2523.588348798591
2082,2426.8515375148318
2083,2313.861445143041
2084,2188.135782641717
2085,2053.2738481019956
2086,1912.7673466848746
2087,1769.8472328633623
2088,1627.3734415143726
2089,1487.7682982885215
2090,1352.9896680128463
2091,1224.5368779012945
2092,1103.4810951834534
2093,990.5118336201112
2094,885.9921816163269
2095,790.0167623029159
2096,702.4680066716979
2097,623.0678043007941
2098,551.4228548707472
2099,487.0630224259271
2100,429.4726946373653
2101,378.1156053594469
2102,332.45383900526423
2103,291.9618500714206
2104,256.1363457502128
2105,224.50283089720392
2106,196.6195306722934
2107,172.0793068128653
2108,150.51008189693542
2109,131.5741901424654
2110,114.9669875873154
2111,100.4149807008188
2112,87.67367077912749
2113,76.52526111327549
2114,66.77633364497119
2115,58.255570209084404
2116,50.8115690713132
2117,44.3107889775532
2118,38.6356391652968
2119,33.6827237468961
2120,29.361241727881
2121,25.591538992755602
2122,22.3038053331743
2123,19.4369075801177
2124,16.9373487985254
2125,14.758343052342699
2126,12.8589952541396
2127,11.2035759287693
2128,9.7608812354212
2129,8.503669226616601
2130,7.4081640180303
2131,6.4536202588722
2132,5.621941000501599
2133,4.8973427423057005
2134,4.266062077037899
2135,3.7160989557219004
2136,3.2369921421875
2137,2.8196229282063
2138,2.4560436334431
2139,2.1393278220387
2140,1.8634395323983002
2141,1.6231191419211
2142,1.4137837772925999
2143,1.2314404369078
2144,1.0726102180874
2145,0.9342622413498
2146,0.8137560395401
2147,0.7087913341013
2148,0.6173642563627
2149,0.5377291905937001
2150,0.4683655198815
2151,0.4079486470217
2152,0.3553247425828
2153,0.30948874198099996
2154,0.269565174569
2155,0.23479146088869998
2156,0.2045033609493
2157,0.1781222968833
2158,0.15514430889240002
2159,0.1351304342971
2160,0.1176983264869
2161,0.1025149541367
2162,0.08929024153444307
2163,0.07777152879766024
2164,0.06773874635170217
2165,0.05900021159238447
2166,0.051388967567358224
2167,0.04475959382284344
2168,0.03898542850565587
2169,0.033956148741057235
2170,0.029575663082568364
2171,0.025760275749965172
2172,0.02243708769049682
2173,0.01954260384356921
2174,0.017021520076886534
2175,0.01482566655747772
2176,0.012913087448338863
2177,0.011247239318788963
2178,0.009796292928241421
2179,0.008532525099631422
