year,total_rate
2030,9.048353630012599
2031,9.7281990181596
2032,10.450455966119199
2033,11.217125044346
2034,12.030259413405
2035,12.891963807563101
2036,13.8043933673363
2037,14.7697523193491
2038,15.790292502322899
2039,16.8683117384798
2040,18.0061520501315
2041,19.206197721713
2042,20.470873208018997
2043,21.8026408899062
2044,23.2039986792271
2045,24.677477475270898
2046,26.2256384754889
2047,27.8510703437851
2048,29.5563862401469
2049,31.344220715877302
2050,33.2172264791689
2051,35.1780710362222
2052,37.2294332135631
2053,39.3739995676491
2054,41.614460688268196
2055,43.9535074026341
2056,46.3938268874566
2057,48.9380986966163
2058,51.588990712405604
2059,54.3491550285986
2060,57.221223773889
2061,60.2078048844869
2062,63.3114778348808
2063,66.534789335968
2064,69.88024900991171
2065,73.3503250512183
2066,76.94743988362481
2067,80.6739658224562
2068,84.53222075215041
2069,88.5244638286515
2070,92.65289121635301
2071,96.9196318692111
2072,101.32674336556751
2073,105.8762078061028
2074,110.5699277841999
2075,115.4097224378235
2076,120.3973235918221
2077,125.53437199933401
2078,130.8224136907287
2079,136.262896438237
2080,141.85716634413183
2081,147.6064645599941
2082,153.5119241442678
2083,159.5745670649452
2084,165.7953013538494
2085,172.174918418591
2086,178.71409051787452
2087,185.4133684054054
2088,192.27317914722968
2089,199.2938241168937
2090,206.4754771723707
2091,213.8181830182463
2092,221.32185575620468
2093,228.9862776263901
2094,236.81109794176962
2095,244.79583221714728
2096,252.93986149404108
2097,261.2424318621562
2098,269.7026541777581
2099,278.3195039787859
2100,287.0918215961188
2101,296.0183124599703
2102,305.09754759997435
2103,314.32796433709996
2104,323.70786716514885
2105,333.2354288191915
2106,342.9086915279301
2107,352.72556844661517
2108,362.6838452667934
2109,372.7811819988471
2110,383.0151149229582
2111,393.3830587038462
2112,403.88230866433986
2113,414.5100432125918
2114,425.2633264174901
2115,436.1391107266066
2116,447.13423982080633
2117,458.24545159945717
2118,469.46938129001046
2119,480.8025646755686
2120,492.2414414339228
2121,503.78235858143205
2122,515.4215740150141
2123,527.1552601454446
2124,538.9795076150921
2125,550.8903290931835
2126,562.8836631416575
2127,574.9553781446573
2128,587.1012762947221
2129,599.3170976287519
2130,611.5985241068624
2131,623.9411837272946
2132,636.3406546706093
2133,648.7924694664732
2134,661.2921191764395
2135,673.8350575862219
2136,686.4167054010837
2137,699.0324544380782
2138,711.6776718090287
2139,724.347704088264
2140,737.0378814592954
2141,749.7435218347683
2142,762.4599349442108
2143,775.1824263842567
2144,787.9063016262245
2145,800.6268699761068
2146,813.3394484822292
2147,826.0393657860275
2148,838.7219659116049
2149,851.3826119899234
2150,864.0166899136975
2151,876.6196119192726
2152,889.1868200919689
2153,901.713789791598
2154,914.196032995058
2155,926.6291015531328
2156,939.0085903588335
2157,951.3301404248225
2158,963.589441867674
2159,975.7822367969368
2160,987.9043221071556
2161,999.9515521712208
2162,1011.9198414336106
2163,1023.8051669022839
2164,1035.603570538173
2165,1047.3111615414143
2166,1058.9241185336343
2167,1070.4386916357946
2168,1081.8512044412648
2169,1093.1580558839592
2170,1104.3557220015496
2171,1115.440757593914
2172,1126.4097977771298
2173,1137.2595594334878
2174,1147.9868425581137
2175,1158.5885315029545
2176,1169.0615961189874
2177,1179.403092797655
2178,1189.6101654126328
2179,1199.6800461631585
