year,total_rate
2030,42.8431840777452
2031,47.548088068952
2032,52.764051139877495
2033,58.5452802826001
2034,64.9514284316577
2035,72.0480703684173
2036,79.9072029845369
2037,88.60776651002571
2038,98.2361817048807
2039,108.8868960089683
2040,120.6629291702331
2041,133.6764058466382
2042,148.04905901694408
2043,163.9126836510661
2044,181.4095148955962
2045,200.6924989461389
2046,221.9254177462654
2047,245.2828206470686
2048,270.9497072076059
2049,299.12089551836976
2050,329.99999999999903
2051,363.79793192912655
2052,400.730825529353
2053,441.01728314315955
2054,484.8748258803105
2055,532.5154326894359
2056,584.1400528946158
2057,639.9319871734073
2058,700.0490524231675
2059,764.614479977696
2060,833.7065473355135
2061,907.3470139065876
2062,985.4885236000011
2063,1068.0012524147317
2064,1154.6592165452917
2065,1245.1268118711575
2066,1338.9463211278144
2067,1435.5272878858461
2068,1534.1387988653257
2069,1633.9058153701392
2070,1733.8107244140888
2071,1832.7012130455705
2072,1929.3053809634239
2073,2022.2546802821237
2074,2110.1148045606524
2075,2191.4240583906853
2076,2264.7380630357707
2077,2328.678954776102
2078,2381.9865912088044
2079,2423.5687863990192
2080,2452.547333611223
2081,2468.2966092444435
2082,2470.4719134440775
2083,2459.0253766201263
2084,2434.208184625199
2085,2396.558946508558
2086,2346.87912099867
2087,2286.1974010771623
2088,2215.7257182518956
2089,2136.809993317025
2090,2050.87889824819
2091,1959.3937207520864
2092,1863.8019940386478
2093,1765.496950025264
2094,1665.784164243857
2095,1565.8560698332083
2096,1466.774394725281
2097,1369.4600670269117
2098,1274.6897620577427
2099,1183.0980334132803
2100,1095.183867070166
2101,1011.3204993967804
2102,931.7674200213688
2103,856.6836118355416
2104,786.1412389111591
2105,720.13915932722
2106,658.61579954446
2107,601.4610706579364
2108,548.5271294458657
2109,499.63788675351674
2110,454.5972428927474
2111,413.1960863964369
2112,375.2181314600042
2113,340.4446938517502
2114,308.6585180561997
2115,279.6467727389282
2116,253.2033297160974
2117,229.13043548369942
2118,207.2398756044702
2119,187.3537220836467
2120,169.30474318450888
2121,152.9365445709616
2122,138.1035006356198
2123,124.6705256332577
2124,112.5127259256568
2125,101.5149673023055
2126,91.57138496065869
2127,82.5848582588939
2128,74.46646772064031
2129,67.1349478896167
2130,60.516146414381396
2131,54.542497102523605
2132,49.152512537560106
2133,44.2903001260268
2134,39.9051040691228
2135,35.9508746742414
2136,32.3858655850726
2137,29.172258871057398
2138,26.275817440333498
2139,23.665563893614802
2140,21.3134846934602
2141,19.194258362500698
2142,17.2850063274553
2143,15.565064978753
2144,14.015777506266101
2145,12.6203040908164
2146,11.363449070705
2147,10.231503756963301
2148,9.2121036350631
2149,8.2940987612122
2150,7.4674362347938
2151,6.7230537031303
2152,6.052782928707
2153,5.4492625212853
2154,4.9058590067918
2155,4.4165954713876
2156,3.9760870817610003
2157,3.5794828418079
2158,3.2224130009002
2159,2.9009415802521
2160,2.6115235313531997
2161,2.3509660842625
2162,2.1163938839256997
2163,1.9052175496324
2164,1.7151053267169
2165,1.5439575305713
2166,1.3898835112814
2167,1.2511808930793
2168,1.1263168661618002
2169,1.0139113297941
2170,0.9127217049567
2171,0.8216292523834
2172,0.7396267477088999
2173,0.6658073799233
2174,0.5993547522941001
2175,0.5395338768469
2176,0.4856830640282
2177,0.4372066189603
2178,0.3935682642842
2179,0.35428521758209996
